province,district,election_type,drive_id,extracted_valid,weak_summary,ref_valid,delta_valid_vs_killernay,exact_killernay
ชัยภูมิ,1,party_list,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,81028.0,False,81028.0,0.0,True
ชัยภูมิ,2,constituency,13s05tIh_IkfRhoCRoUSY4ub0_MHy3OSJ,79326.0,False,79326.0,0.0,True
ชัยภูมิ,2,party_list,1quRSxkHzEZ3lJMfGYKnMsHCimzsd-89W,79374.0,False,79374.0,0.0,True
ชัยภูมิ,3,constituency,1d_WSPp34LhBOzdOFgqvBL2l8S2frHpcO,75289.0,False,75289.0,0.0,True
ชัยภูมิ,3,party_list,1Brx0-sj9-1Zh0uGTuliR5GCqtTJVYHN8,73106.0,False,73106.0,0.0,True
ชัยภูมิ,4,constituency,1ZLFiPya-SQa4sF4rHBg5maHyVNSl1cVb,72809.0,False,72809.0,0.0,True
ชัยภูมิ,4,party_list,18RG_JdaXbSTIUJ4XBI3-ZJo8X0YfK1cG,70825.0,False,70825.0,0.0,True
ชัยภูมิ,5,constituency,125RIB2Ciq737IO4Ckk0nWl9b_Kp5HbTs,85450.0,False,85450.0,0.0,True
ชัยภูมิ,5,party_list,13djW1mz6PEw7f_u6ihBAg-t9p_wZa8td,82473.0,False,82473.0,0.0,True
ชัยภูมิ,6,constituency,1GnOyv-oSuWPFvD6AXMw3iZwItrlh1xfV,83346.0,False,83346.0,0.0,True
ชัยภูมิ,6,party_list,1Vt_fecvJV-0GxOXqS7u7fdVC_OIpQq3M,81810.0,False,81810.0,0.0,True
ชัยภูมิ,7,constituency,1zFzg9N8ch5fcFc87zpxhZJ6Bs7KbCARg,81542.0,False,81542.0,0.0,True
ชัยภูมิ,7,party_list,1lT4IC9SABxbKkDvbXKfWuBdrTipCOy7y,78848.0,False,78848.0,0.0,True
ชุมพร,1,constituency,1OYG1YT56sF81GQlbSv1QPcJt2PswSdN4,96247.0,False,96247.0,0.0,True
ชุมพร,1,party_list,1SIPu5zK9_iVCVkjH_JJfXqqVJSBP9ubk,98390.0,False,98390.0,0.0,True
ชุมพร,2,constituency,1XundJ9C6RsYq81yWyiZLwZzO4HRvbz2J,101248.0,False,101248.0,0.0,True
ชุมพร,2,party_list,1huwpNNhW4OVFhEWD1nKTjeNsrvbIvsC8,101680.0,False,101680.0,0.0,True
ชุมพร,3,constituency,12GJSERpD3ou8W6Lv7du5BdT2ELPBlaX6,94965.0,False,94965.0,0.0,True
ชุมพร,3,party_list,1vwe5AfBOIa7X-rw0UdtMsiOOEOCRFmIk,95882.0,False,95882.0,0.0,True
ตรัง,1,constituency,1Q1F0wnsM3knJdlwrj9qVfACFUyRRKU2y,90521.0,False,90521.0,0.0,True
ตรัง,1,party_list,1m8zkzIy2dQTolSGT2csl2cdKu-DyTTUs,93222.0,False,93222.0,0.0,True
ตรัง,2,constituency,1ySBEX4zLuxtOgmriabNvdt9eAppbwEfA,95121.0,False,95121.0,0.0,True
ตรัง,2,party_list,1RnesNDG4UOHelHtTD5pyY2PTVHoZRtL3,95905.0,False,95905.0,0.0,True
ตรัง,3,constituency,1Vhwsmt8VIVMt8TAcQyhXk6u2NLPoGpOZ,88101.0,False,88101.0,0.0,True
ตรัง,3,party_list,1YCDqit5ifppX1qBsBGOqQtvW8JMGCcX7,89986.0,False,89986.0,0.0,True
ตรัง,4,constituency,1av9wvnXH5jxyRGssfIAVZePZMYMbKIkF,93671.0,False,93671.0,0.0,True
ตรัง,4,party_list,1Dq-TqdX1PUGUFUC07yrrgH4UO2gkRCOT,94473.0,False,94473.0,0.0,True
ตราด,1,constituency,1jz-0kVy9dA3AH5EAzo4iPBP0MpfwO1Gw,115576.0,False,115576.0,0.0,True
ตราด,1,party_list,1rvAzvx4i5PFLNZvBolJascEq1CcNWoGo,114946.0,False,114946.0,0.0,True
ตาก,1,constituency,1MAy5f78uCbD9OmYgEURKvMha3ql7qBKg,96390.0,False,96390.0,0.0,True
ตาก,1,party_list,1thMQoxDTawtfInvIFwFylVudDutMsrKV,94793.0,False,94793.0,0.0,True
ตาก,2,constituency,14OLeBu0jiQhxyVdV9_Rlo29N-dYnlhVj,61640.0,False,61640.0,0.0,True
ตาก,2,party_list,1LwrSoTyfxwwQg6jdanraUS2B1uq6Ju_U,78750.0,False,78750.0,0.0,True
ตาก,3,constituency,1KIoQKdn5e64suspSX-eAp5iWXNVeWSHl,85954.0,False,85954.0,0.0,True
ตาก,3,party_list,1DIYLw1ohyhkPCJ5cQzXiTbUQ5tDXaBoq,87421.0,False,87421.0,0.0,True
นครนายก,1,constituency,1CwSaIrN8aqGRbkJ6FzVTrnasSp0zJYQv,76781.0,False,76781.0,0.0,True
นครนายก,1,party_list,16ILdq5whcBbg6CSp4C0OGZCaWGhCzZ1D,74982.0,False,74982.0,0.0,True
นครนายก,2,constituency,1NLKZCY9roqPgmSVUezIiZmTDi-4T210_,80797.0,False,80797.0,0.0,True
นครนายก,2,party_list,1rEHV4n5_MtFLUFkcQIV9Hmy1JkgvTllT,79406.0,False,79406.0,0.0,True
นครปฐม,1,constituency,1UmRDl0Jvn80w1JHRCNpE-dhsdZfe19iB,95931.0,False,95931.0,0.0,True
นครปฐม,1,party_list,1TxvcDFbPiVS-FAHj48dsMnwsls1m8PZo,95758.0,False,95758.0,0.0,True
นครปฐม,2,constituency,1uxiaiKqO4UDjeCUcn8RmFYYV8XFoY80P,88517.0,False,88517.0,0.0,True
นครปฐม,2,party_list,17_kmSc5xFuI_ITM7hCyQlOYwFy1FB7Du,87501.0,False,87501.0,0.0,True
นครปฐม,3,constituency,1yDnIyptGZaNcCmVc4D35AxSFBjmYXF57,83624.0,False,83624.0,0.0,True
